text_segment,calculated_level
這個小小的第三者，似乎一生下來就得到父母的鍾愛，在她噘著小嘴唇甜蜜睡覺的時候，在她睜開烏黑的眼睛凝視燈光的時候，在我們發現她臉上有顆小黑痣的時候，那種生活的溫馨！但是她也給我們帶來現實的生活問題。她的小被窩裡好像有一部小印刷機，印出一份一份淺黃深黃潮溼溫和的尿布。我們一份一份接下來，往臉盆裡扔。因此，阿釧的眉頭皺了，阿釧的胳臂酸了，阿釧的脾氣壞了。她的印刷機使我們的臨時佣人吃不消了。,2
我們的臥室開始有釘鎚的響聲，鐵絲安裝起來了，一道，兩道，三道，四道，五道，六道。她的尿布像一幅一幅雨中的軍旗，聲勢浩大的掛滿一屋。我們在尿布底下彎腰走路。鄰居的小女孩來拜訪新妹妹，一擡頭瞧見那空中的迷魂陣，就高興得忘了來我家的目的。書桌的領空也讓出去了，我這近視的寫稿人，常常一個標點點在水上，那就是頭上尿布的成績。一切都在改變，而且改變得那麼快。我們從前那種兩部車子出門，,2
兩部車子回家的公務員生活樂趣被破壞了，但是我們卻從另一方面得到了補償。我們可以捏捏嬰兒的小手，像跟童話裡的仙子寒暄，可以撫摸她細柔漆黑的髮絲，可以看她在澡盆裡踩水像一個小青蛙，可以在她身上聞到嬰兒所專有的奶香味，在她那一張甜美的小臉兒前面，誰還去回憶從前的舊樂趣？這小嬰兒會打鼾，小嗓子眼兒裡咕嚕咕嚕響。她吃足了奶會打嗝，會伸個懶腰打呵欠，還會打噴嚏。我們放在床頭的育嬰書上說這一切都是正常的。,2
我們享受她給我們的一切聲音，這聲音使我們的房間格外溫暖。我們偷看她安靜時候臉上的表情，這表情沒有一絲愁苦的樣子。她佔用我們的半張床，但是我們多麼願意退讓。她使我們半夜失眠，日間疲憊不堪。我們卻覺得這是人間最快樂的痛苦，最甜蜜的折磨，但願不分晝夜，永遠緊擁她在懷裡！窗外冷風淒淒，雨聲淅瀝，世界是這麼潮溼陰冷，我們曾經苦苦的盼望著太陽。但是現在，我們忘了窗外的世界，因為我們有我們自己的小太陽了。,2
小太陽不怕天上雲朵的遮掩，小太陽能透過雨絲，透過尿布的迷魂陣，透過愁苦靈魂堅硬的外殻，暖烘烘照射著我們的心。我多麼願意這麼說：我們的小太陽不是我們生活的負擔，她是我們人生途中第一個最惹人喜愛的友伴！,2
對於一年生的草本植物而言，秋天是全力盛裝正視死亡的美麗季節。秋天的雲最短暫，秋天的欲望最少，秋天最接近死亡，秋天是生命覺醒和改變的最佳季節；所以秋天一點也不憂鬰，秋天無歡亦無悲，清明爽朗。秋天的聲音細緻內歛，難以傾聽。漢人曆法中九月是秋天的開端，正是西南海岸的平埔族釋放向魂的開向祭舉行之際；所謂向魂指的是大地上一切的魂靈。西拉雅人以月亮的陰晴圓缺謹記奉祀祖先阿立的儀式要月月遵行，永傳後世。,3
西拉雅人以身體髮膚的感受和眼觀萬物遞嬗輪替來判斷節氣與四季的律動。因此安慰向魂的祭典舉行之際，雖已是漢人曆法中白露之後，霜降之前的秋分，在古稱倒風內海的西南海岸野原上仍是獵鹿人赤身裸體的夏季，暑氣依舊逼人。只有敏感的伊尼卜司（女巫）必細心注意節氣的變化，在早晨的露水漸漸增多轉寒之後，直到降霜於田野之前的那段陰晴圓缺，便是決定安慰向魂的時機了。記得將壼中鎮壓向魂的伊尼青葉（澤蘭）從向水裡拿開，,3
釋放被禁閉整個春夏的魂靈們回到世間優游。魂靈們在秋天群起回到世間優游的聲音我們聽不見，那是生命死亡後的聲音。生命發生的聲音有些是聽不見卻看得見的，某些聲音可以在心中滋長，甚至變得很喧囂，耳畔卻沒有任何聲響；只有西拉雅的女巫聽得見向魂渴望秋天的聲音吧！相信魂靈們繼續在世間遊蕩的聲音從來不曾離去，西拉雅人於田野上響起的賽戲祭歌在秋天卻逐漸消失了！,2
我們在臺灣古文獻上聽見的獵鹿人奔馳在疏林草原的聲音已成絕響！看見的秋日祭歌已經不在公廨廣場上回盪悠揚！西拉雅人知道，秋日草野的氣息真正來臨是從霜降之後，粟米成熟的那個月圓之夜；在那一夜要舉行祖先阿立誕辰的狂歡夜祭；粟米總在夏天拼命成長，秋天收成。從夜祭之後便是真正的秋天了！那是漢人曆法小雪以後的十月十五日，草木開始枯黃蕭瑟，鹿群必須集體遷移南下，尋找尚未枯死的青草與耐寒的新葉，也是獵人們群集出動，,3
在草野上圍獵鹿群的時節。那是四百年前的秋天臺灣原野典型的聲音：鹿群踏動大地，獵人放火燎原。野火吞沒枯黃草木的猛暴巨響，已經驅趕驚惶奔走的鹿群從草原深處竄出，迎面撞上狂呼吶喊，手持標槍的獵人許多世代了；數百年前秋天原野上的生態一直維持如此生與死的平衡；草原靠大火重生，卸去枯死的屍體，待明年春雨後新生，鹿群需要新生的草原，而放火的獵人需要繁衍不斷的鹿群；直到漢人入侵將疏林草原開墾，,3
