text_segment,calculated_level
【楊喚詩集】童詩：森林的詩 楊喚 「太陽好！ 早晨好！」 喜鵲小姐第一個睜開眼睛， 打開綠色的百葉窗， 向剛才來上班的太陽， 向剛才起床的早晨， 一遍又一遍地叫。 頂著滿頭的露珠， 小菌子從四面八方來集合了， 排成一列列的小隊伍， 讓風先生做指揮， 在鋪遍野花的操場上 開始作體操。 啄木鳥叔叔最被大家尊敬， 因為他是一位熱心腸的好醫生， 每天都是從早忙到晚， 還沒吃過早飯，,2
就被請走給老杉樹公公去看病。 不帶體溫計， 也沒有聽診器， 他仔細地給老杉樹檢查， 用他那長長的，又尖又快的大嘴巴。 白兔弟弟最聽媽媽的話， 一早起來就刷過牙，洗過那長長的大耳朵。 他是辛勤的小園丁， 不偷懶，愛工作。 他種小花小草， 種一畦小麻豆，也種一畦小胡瓜。 他最高興的是看著 播下去的種子變成了嫩芽。 畫眉姑娘是個小小的音樂家， 可是她不願意躲在家裡吹口琴。 她怕住在森林裡的朋友們太寂寞，,2
就飛東飛西去訪問， 讓辛苦了一天的朋友們坐下來休息， 讓她唱幾支這世界上最好聽的歌。 狐狸和狼不再做那些壞事情， 他們現在是親熱的好鄰居， 一對用功的好學生， 他們在一起散步，在一起上學校， 蜜蜂老師教他門唱歌，教他們識字， 森林就是他們的大教室。 貓頭鷹長年地戴著一副大眼鏡， 你該知道，他是最有學問的老博士， 白天他把自己關在屋子裡， 讀那一厚冊一厚冊的硬皮書， 到晚上一點也不想睡覺，,2
不停地對著月亮和星星講故事， 一歡喜起來就怪聲怪氣地笑。,2
【楊喚詩集】鑰匙 楊喚 我有一串鑰匙， 那拙笨短小的就像白癡和侏儒， 那姣好玲瓏的一如公主之美麗多姿。 當我煩躁的時候， 她們偏要高聲爭吵， 像一副冰冷無情的銬鐐； 在我安靜的時候， 她們也跟著輕輕低語， 使我懷念起 有牛羊的頸鈴搖響了成熟的秋日。,3
【楊喚詩集】小樓 楊喚 當風和雨在暗夜裡突然來訪， 這小樓乃如一株落盡了葉子的樹； 那憂鬱的夢啊，是枚白色的殼， 我呀，就是馱著那白色的殼的蝸牛。 我，有一對耽於沉思的眼睛； 樓，有很多扇開向藍天的窗口。 但，陽光的啄木鳥是許久也沒有飛來了， 不停地，不停地，我揮動著招引的手。,2
【楊喚詩集】童詩：小蟋蟀 楊喚 克利利！克利利！ 媽媽的故事真好聽。 克利利！克利利！ 洋娃娃的眼睛真好看。 克利利！克利利！ 誰讓你的小臉和小手黑又髒？ 克利利！克利利！ 不哭不鬧睡一覺， 我的歌兒唱到大天亮。,2
【楊喚詩集】二十四歲 楊喚 白色小馬般的年齡。 綠髮的樹般的年齡。 微笑的果實般的年齡。 海燕的翅膀般的年齡。 可是啊， 小馬被飼以有毒的荊棘， 樹被施以無情的斧斤， 果實被害於昆蟲的口器， 海燕被射落在泥沼裡。 Y?H！你在哪裡？ Y?H！你在哪裡？,3
【楊喚詩集】失眠夜 楊喚 今夜，又一次 我免於被封鎖進痛苦的睡眠， 在沒有燈的屋子裡， 自己照亮自己。於是 紙煙乃如一枝枝的粉筆， 在夜的黑板上， 我默默地寫著 人生的問題與答案， 美麗的童話和詩句。,3
【楊喚詩集】童詩：美麗島 楊喚 有藍色的吐著白色的唾沫的海 小心地忠實地守衛著， 寒冷的冰雪永遠也不敢到這裡來。 有綠色的伸著大手掌的椰子樹 緊緊地拉住親愛的春天， 美麗的花朵永遠成群結隊地開。 在這裡 小朋友們都像健康的牛一樣地健康， 在這裡 小朋友們都像快樂的雲雀一樣地快樂。 你來看！ 小妹妹是夢見香蕉和鳳梨在街上跳舞了吧？ 要不怎麼睡在媽媽的懷裡 還是不停地在微笑？ 你知道這裡是什麼地方嗎？,2
